Execution Time in Seconds,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,0.019,0.005,0.022,0.013,0.011,0.006,0.004,0.009,0.013,0.009,0.0111
100,0.004,0.008,0.002,0.002,0.004,0.001,0.002,0.001,0.002,0.001,0.0027
1000,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.007,0.002,0.0021
10000,0.003,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.001,0.001,0.0021
100000,0.014,0.009,0.012,0.007,0.008,0.009,0.005,0.005,0.01,0.005,0.0084
,,,,,,,,,,,
Total Comparisons of Elements,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0,0,0
10000,0,0,0,0,0,0,0,0,0,0,0
100000,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
Total Number of Array Accesses,,,,,,,,,,,
,,,,,,,,,,,
n,Iter 1,Iter 2,Iter 3,Iter 4,Iter 5,Iter 6,Iter 7,Iter 8,Iter 9,Iter 10,Avg.
10,2000080,2000080,2000080,2000080,2000080,2000080,2000080,2000080,2000080,2000080,2000080
100,2000800,2000800,2000800,2000800,2000800,2000800,2000800,2000800,2000800,2000800,2000800
1000,2008000,2008000,2008000,2008000,2008000,2008000,2008000,2008000,2008000,2008000,2008000
10000,2080000,2080000,2080000,2080000,2080000,2080000,2080000,2080000,2080000,2080000,2080000
100000,2800000,2800000,2800000,2800000,2800000,2800000,2800000,2800000,2800000,2800000,2800000